instance,config,score,dist,time
tsiligirides_problem_3_budget_070,tabu-int,50,5.42,0.00
tsiligirides_problem_3_budget_070,tabu-int,60,5.42,0.10
tsiligirides_problem_3_budget_070,tabu-int,70,6.88,0.13
tsiligirides_problem_3_budget_070,tabu-int,80,8.10,0.16
tsiligirides_problem_3_budget_070,tabu-int,110,11.88,0.19
tsiligirides_problem_3_budget_070,tabu-int,130,12.98,0.22
tsiligirides_problem_3_budget_070,tabu-int,140,14.16,0.26
tsiligirides_problem_3_budget_070,tabu-int,190,20.62,0.30
tsiligirides_problem_3_budget_070,tabu-int,210,22.54,0.34
tsiligirides_problem_3_budget_070,tabu-int,240,24.71,0.38
tsiligirides_problem_3_budget_070,tabu-int,280,27.70,0.42
tsiligirides_problem_3_budget_070,tabu-int,320,31.70,0.47
tsiligirides_problem_3_budget_070,tabu-int,360,34.25,0.51
tsiligirides_problem_3_budget_070,tabu-int,380,37.12,0.56
tsiligirides_problem_3_budget_070,tabu-int,400,40.05,0.61
tsiligirides_problem_3_budget_070,tabu-int,450,48.14,0.65
tsiligirides_problem_3_budget_070,tabu-int,470,51.82,0.70
tsiligirides_problem_3_budget_070,tabu-int,490,53.72,0.74
tsiligirides_problem_3_budget_070,tabu-int,510,58.16,0.79
tsiligirides_problem_3_budget_070,tabu-int,520,60.31,0.83
tsiligirides_problem_3_budget_070,tabu-int,540,64.22,0.88
tsiligirides_problem_3_budget_070,tabu-int,550,64.76,0.92
tsiligirides_problem_3_budget_070,tabu-int,580,68.72,0.97
tsiligirides_problem_3_budget_070,tabu-int,600,69.44,1.03
tsiligirides_problem_3_budget_070,tabu-int,620,69.89,1.28
tsiligirides_problem_3_budget_070,tabu-int,630,69.18,1.56
tsiligirides_problem_3_budget_070,tabu-int,640,69.66,1.73
